,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,model_path,preprocessing_path,categorical
10,0.9808410008748373,0.3054083920215177,0.001781463623046875,0.00013188965834845165,tanh,0.0001,"(100,)",adaptive,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-1.8243357374926854,-1.7876293957175202,-1.9059948849609953,-1.839320006057067,0.049470486078529295,41,model_dump/mlp_knnImputed_grid_mae_True_-1.29337_07-02-2022_22:27:37.pkl,scale_dump/ColumnTransformer_knnImputed_07-02-2022_22:27:37.pkl,False
11,0.8898417949676514,0.23777173224262318,0.0019966761271158853,7.272596086126053e-05,tanh,0.0001,"(100,)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-1.8439809740389415,-1.916364316809241,-1.90209975646393,-1.8874816824373708,0.03130604993538407,45,model_dump/mlp_knnImputed_grid_mae_True_-1.29337_07-02-2022_22:27:37.pkl,scale_dump/ColumnTransformer_knnImputed_07-02-2022_22:27:37.pkl,False
12,1.2874339421590169,0.2083705959158463,0.003914674123128255,0.001388324062856496,tanh,0.05,"(50, 50, 50)",constant,sgd,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-1.3194610125317823,-1.3672075192533304,-1.322597165429209,-1.3364218990714407,0.021806339616981363,27,model_dump/mlp_knnImputed_grid_mae_True_-1.29337_07-02-2022_22:27:37.pkl,scale_dump/ColumnTransformer_knnImputed_07-02-2022_22:27:37.pkl,False
13,2.1112499237060547,0.16741298480292707,0.002917766571044922,7.812663134967754e-05,tanh,0.05,"(50, 50, 50)",constant,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-1.3086565645726294,-1.3081461064653588,-1.31426862696335,-1.3103570993337794,0.002773707286585942,13,model_dump/mlp_knnImputed_grid_mae_True_-1.29337_07-02-2022_22:27:37.pkl,scale_dump/ColumnTransformer_knnImputed_07-02-2022_22:27:37.pkl,False
14,1.8515430291493733,0.015941031180534616,0.002904176712036133,9.40048711063091e-05,tanh,0.05,"(50, 50, 50)",adaptive,sgd,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-1.3124917941511838,-1.3320547690734417,-1.322597165429209,-1.3223812428846113,0.007988010343056727,19,model_dump/mlp_knnImputed_grid_mae_True_-1.29337_07-02-2022_22:27:37.pkl,scale_dump/ColumnTransformer_knnImputed_07-02-2022_22:27:37.pkl,False
15,2.189026673634847,0.1350630146325417,0.003952821095784505,0.0016986876234588056,tanh,0.05,"(50, 50, 50)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",-1.3086565645726294,-1.3081461064653588,-1.31426862696335,-1.3103570993337794,0.002773707286585942,13,model_dump/mlp_knnImputed_grid_mae_True_-1.29337_07-02-2022_22:27:37.pkl,scale_dump/ColumnTransformer_knnImputed_07-02-2022_22:27:37.pkl,False
16,1.7890195846557617,0.39934490953546065,0.003876209259033203,3.7273194826452985e-05,tanh,0.05,"(50, 100, 50)",constant,sgd,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-1.282629515189226,-1.3364960583099135,-1.3137597336811988,-1.3109617690601125,0.022079742925116653,16,model_dump/mlp_knnImputed_grid_mae_True_-1.29337_07-02-2022_22:27:37.pkl,scale_dump/ColumnTransformer_knnImputed_07-02-2022_22:27:37.pkl,False
17,2.0010291735331216,0.376797887174796,0.00475319226582845,0.0014899220191848487,tanh,0.05,"(50, 100, 50)",constant,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-1.283733889565003,-1.6077156327213324,-1.3069039463709176,-1.3994511562190846,0.147568700413658,31,model_dump/mlp_knnImputed_grid_mae_True_-1.29337_07-02-2022_22:27:37.pkl,scale_dump/ColumnTransformer_knnImputed_07-02-2022_22:27:37.pkl,False
18,2.5154858430226645,0.4116631093427643,0.003842433293660482,0.0001624219558517923,tanh,0.05,"(50, 100, 50)",adaptive,sgd,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-1.282629515189226,-1.3075102164720263,-1.3137597336811988,-1.301299821780817,0.013446173619409151,3,model_dump/mlp_knnImputed_grid_mae_True_-1.29337_07-02-2022_22:27:37.pkl,scale_dump/ColumnTransformer_knnImputed_07-02-2022_22:27:37.pkl,False
19,1.9480139414469402,0.5508096451720638,0.003939151763916016,0.00019336202430294888,tanh,0.05,"(50, 100, 50)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",-1.283733889565003,-1.6077156327213324,-1.3069039463709176,-1.3994511562190846,0.147568700413658,31,model_dump/mlp_knnImputed_grid_mae_True_-1.29337_07-02-2022_22:27:37.pkl,scale_dump/ColumnTransformer_knnImputed_07-02-2022_22:27:37.pkl,False
