iter	RMSE
163	1.345905119
164	1.345586177
165	1.345323826
166	1.344817253
167	1.344554881
168	1.344204357
169	1.343643361
170	1.343017026
171	1.342411306
172	1.342397762
173	1.342156044
174	1.341812633
175	1.3417163
176	1.341115317
177	1.340654924
178	1.340193666
179	1.339767731
180	1.339023025
181	1.338738114
182	1.338310503
183	1.33781438
184	1.337689802
185	1.336805188
186	1.336467658
187	1.336212799
188	1.33550346
189	1.335156749
190	1.334700962
191	1.334264852
192	1.333724435
193	1.333245415
194	1.33297131
195	1.332307267
196	1.331720906
197	1.331201937
198	1.330524566
199	1.32996938
200	1.329617618
201	1.329327389
202	1.328745235
203	1.328514007
204	1.328016653
205	1.327877691
206	1.327528814
207	1.327191086
208	1.326933178
209	1.326438051
210	1.326152517
211	1.325920801
212	1.325797709
213	1.325311552
214	1.324824836
215	1.324190306
216	1.323981281
217	1.323554692
218	1.323241806
219	1.322666574
220	1.322274675
221	1.321833503
222	1.321730587
223	1.321426422
224	1.321238728
225	1.321207751
226	1.320924992
227	1.32085919
228	1.320721405
229	1.320660643
230	1.320236313
231	1.319937505
232	1.319730685
233	1.319697925
234	1.319394727
235	1.319271516
236	1.31904447
237	1.31879638
238	1.318366563
239	1.317994403
240	1.317967979
241	1.317481772
242	1.317285286
243	1.31708538
244	1.316713525
245	1.316476044
246	1.316112405
247	1.315677549
248	1.31564904
249	1.315467564
250	1.315241212
251	1.314804191
252	1.314524638
253	1.314208666
254	1.313904622
255	1.313570065
256	1.313471852
257	1.313151662
258	1.313053458
259	1.312825827
260	1.31276276
261	1.31265489
262	1.312381357
263	1.312156008
264	1.311920128
265	1.311697837
266	1.311510392
267	1.311451522
268	1.311327999
269	1.311033001
270	1.310745785
271	1.310575292
272	1.310184418
273	1.309832167
274	1.309594971
275	1.309330351
276	1.309173579
277	1.308791625
278	1.308692352
279	1.308528322
280	1.308268298
281	1.307977535
282	1.307624266
283	1.307601304
284	1.307548229
285	1.307294289
286	1.307184445
287	1.306935306
288	1.306589203
289	1.306496608
290	1.306408098
291	1.306165021
292	1.306102133
293	1.306081551
294	1.305836732
295	1.305761561
296	1.3055335
297	1.30524637
298	1.30517227
299	1.304931948
300	1.304832993
301	1.30477494
302	1.304648259
303	1.304346726
304	1.304217556
305	1.304063037
306	1.303864965
307	1.30360101
308	1.30326832
309	1.303046382
310	1.30297856
311	1.30279111
312	1.3022599
313	1.302045518
314	1.301996836
315	1.301823049
316	1.301765288
317	1.301502384
318	1.301329858
319	1.301217468
320	1.301018719
321	1.300811037
322	1.300522382
323	1.300391375
324	1.300232435
325	1.299912926
326	1.299557648
327	1.299473797
328	1.299330932
329	1.299211974
330	1.299186434
331	1.299155021
332	1.299039142
333	1.298797211
334	1.298735833
335	1.298478818
336	1.298401701
337	1.298231125
338	1.298174101
339	1.297979343
340	1.297768077
341	1.297484887
342	1.297359834
343	1.29722139
344	1.297173886
345	1.297144525
346	1.297045459
347	1.296817088
348	1.296686146
349	1.296221211
350	1.295969674
351	1.295587092
352	1.295571621
353	1.295422307
354	1.295130484
355	1.295005215
356	1.294757722
357	1.294607887
358	1.294468799
359	1.294298707
360	1.294242107
361	1.294213323
362	1.29407696
363	1.293959118
364	1.293900177
365	1.293856286
366	1.293670628
367	1.293552897
368	1.293379265
369	1.293183459
370	1.293050527
371	1.293021816
372	1.292873818
373	1.292731132
374	1.292591706
375	1.2923971
376	1.292371543
377	1.292332136
378	1.291921963
379	1.291871822
380	1.291598978
381	1.291468369
382	1.291309524
383	1.291055796
384	1.290921171
385	1.290541773
386	1.290293142
387	1.290240976
388	1.290080724
389	1.290043997
390	1.290028247
391	1.289775906
392	1.28964806
393	1.289593416
394	1.289569416
395	1.289496851
396	1.289457257
397	1.28940941
398	1.289347154
399	1.289330784
400	1.289273937
401	1.289036048
402	1.288902149
403	1.288587908
404	1.288487076
405	1.288296566
406	1.288060747
407	1.288033003
408	1.287931189
409	1.287846259
410	1.287578302
411	1.287561104
412	1.287532664
413	1.287411977
414	1.287301147
415	1.287104984
416	1.286978013
417	1.28683849
418	1.286670541
419	1.286595237
420	1.28657357
421	1.286556655
422	1.286439594
423	1.286341249
424	1.28631379
425	1.286124183
426	1.285878979
427	1.285835948
428	1.285691069
429	1.285491971
430	1.285474249
431	1.285142709
432	1.285086481
433	1.284901409
434	1.28480225
435	1.284787698
436	1.284747853
437	1.284645389
438	1.284416949
439	1.284183952
440	1.284151015
441	1.284015996
442	1.283812947
443	1.283742175
444	1.283706567
445	1.283672686
446	1.283504214
447	1.283481933
448	1.283360588
449	1.283295385
450	1.283270765
451	1.283225013
452	1.283000283
453	1.28283309
454	1.282798991
455	1.282686483
456	1.282548423
457	1.282340522
458	1.282031932
459	1.28181268
460	1.281774769
461	1.281451074
462	1.281352064
463	1.2812714
464	1.281138721
465	1.280920773
466	1.280608104
467	1.280590629
468	1.280474487
469	1.28031584
470	1.280233815
471	1.280136304
472	1.280110546
473	1.2799708
474	1.279884398
475	1.279611335
476	1.279544441
477	1.279381951
478	1.279255408
479	1.27922642
480	1.279134778
481	1.279012828
482	1.278960197
483	1.278838147
484	1.278758798
485	1.278642151
486	1.278564919
487	1.278542371
488	1.278506073
489	1.278393243
490	1.278210908
491	1.277976258
492	1.2778334
493	1.277627575
494	1.27734643
495	1.277314263
496	1.277176995
497	1.276969768
498	1.276877752
499	1.276716997
500	1.276687495
501	1.276513353
502	1.276488121
503	1.276429401
504	1.276409749
505	1.276365713
506	1.276336791
507	1.276294246
508	1.276180063
509	1.276091504
510	1.276071363
511	1.275893458
512	1.275774649
513	1.275591279
514	1.275429841
515	1.275383503
516	1.275346673
517	1.275327299
518	1.275249103
519	1.275147129
520	1.275121817
521	1.274919302
522	1.274901921
523	1.274802206
524	1.274782144
525	1.274756119
526	1.274574762
527	1.274559695
528	1.274496931
529	1.274408013
530	1.2743438
531	1.274292343
532	1.274161846
533	1.274055878
534	1.274043475
535	1.273948307
536	1.273816904
537	1.273606293
538	1.273504227
539	1.273331097
540	1.27329062
541	1.273172015
542	1.273062208
543	1.273049568
544	1.272976303
545	1.272909399
546	1.272797139
547	1.272785386
548	1.272724255
549	1.272599058
550	1.27239181
551	1.272313174
552	1.272294635
553	1.272287136
554	1.27213034
555	1.271985447
556	1.271954736
557	1.271940619
558	1.27187711
559	1.271854763
560	1.271833246
561	1.271701275
562	1.271577656
563	1.271489841
564	1.27145902
565	1.271367118
566	1.271347533
567	1.271258765
568	1.271207648
569	1.271123178
570	1.271068579
571	1.270986292
572	1.270966883
573	1.270861819
574	1.270760073
575	1.270603808
576	1.270486299
577	1.270364661
578	1.270276377
579	1.270263813
580	1.270036673
581	1.269966314
582	1.269952463
583	1.269840658
584	1.269766241
585	1.2696635
586	1.269608864
587	1.269492513
588	1.269332254
589	1.269277472
590	1.269183461
591	1.269129531
592	1.269116188
593	1.269055768
594	1.2690424
595	1.268948978
596	1.268798983
597	1.26867505
598	1.268654313
599	1.268472696
600	1.26837757
601	1.268351299
602	1.26831468
603	1.268194127
604	1.268161696
605	1.268143936
606	1.268033835
607	1.268020203
608	1.267970663
609	1.267800089
610	1.267729784
611	1.267681742
612	1.267478616
613	1.267412264
614	1.267321987
615	1.267296147
616	1.267270898
617	1.267200462
618	1.267110783
619	1.267101674
620	1.267013075
621	1.2668406
622	1.266813658
623	1.266734811
624	1.266716975
625	1.266691894
626	1.266604059
627	1.266529274
628	1.266416243
629	1.266387929
630	1.266334377
631	1.26624512
632	1.266079923
633	1.266043952
634	1.265898585
635	1.265785788
636	1.265696312
637	1.265675193
638	1.265589492
639	1.265559193
640	1.265507614
641	1.265433809
642	1.265310093
643	1.265195526
644	1.265136682
645	1.265122906
646	1.26497269
647	1.264959246
648	1.264841565
649	1.264734454
650	1.264608063
651	1.264514778
652	1.264457397
653	1.264437169
654	1.264405774
655	1.264270576
656	1.264243719
657	1.264211226
658	1.264094471
659	1.264066751
660	1.263985415
661	1.263874204
662	1.263770171
663	1.263670254
664	1.26364432
665	1.2636258
666	1.263526309
667	1.263506474
668	1.26349558
669	1.263468669
670	1.263341117
671	1.263273198
672	1.263221106
673	1.26319893
674	1.263193278
675	1.263161742
676	1.26300289
677	1.262968151
678	1.26286423
679	1.262798809
680	1.262748832
681	1.262681539
682	1.262532239
683	1.262509541
684	1.262381698
685	1.262353306
686	1.26229156
687	1.262216176
688	1.262113956
689	1.262029855
690	1.261967723
691	1.261907838
692	1.261764922
693	1.261704841
694	1.261686196
695	1.261549315
696	1.261452776
697	1.261433147
698	1.26142433
699	1.261324864
700	1.261251142
701	1.261119233
702	1.261062334
703	1.261010243
704	1.260936176
705	1.260894352
706	1.260831251
707	1.260819439
708	1.26067232
709	1.260533357
710	1.260359489
711	1.26021684
712	1.260206713
713	1.260088452
714	1.260072716
715	1.260027934
716	1.260010967
717	1.259989501
718	1.259944839
719	1.259922138
720	1.259850374
721	1.259840516
722	1.259827408
723	1.259743481
724	1.259731936
725	1.259663428
726	1.259568313
727	1.259404024
728	1.259395885
729	1.25937191
730	1.259318498
731	1.259304318
732	1.259272499
733	1.259242869
734	1.259165816
735	1.259147712
736	1.259135507
737	1.259118837
738	1.259083879
739	1.259032115
740	1.258869847
741	1.258798214
742	1.25877455
743	1.258690164
744	1.25860363
745	1.258492956
746	1.258445914
747	1.258433576
748	1.258349572
749	1.258343106
750	1.258315457
751	1.258261621
752	1.2581511
753	1.258081508
754	1.2579953
755	1.257924752
756	1.257907884
757	1.257873736
758	1.25786687
759	1.257696327
760	1.257566128
761	1.257555999
762	1.257517329
763	1.257501929
764	1.257486627
765	1.257478412
766	1.257443562
767	1.257416873
768	1.257402208
769	1.257386664
770	1.257345475
771	1.257206986
772	1.257199297
773	1.257138635
774	1.257123706
775	1.257102841
776	1.257091744
777	1.257066659
778	1.257039535
779	1.25695654
780	1.256927285
781	1.256816555
782	1.256808518
783	1.256780347
784	1.256769919
785	1.25671903
786	1.256705631
787	1.256608925
788	1.256522181
789	1.256488485
790	1.256419778
791	1.25627592
792	1.256245532
793	1.256183437
794	1.256172035
795	1.256145965
796	1.25613835
797	1.256117648
798	1.25610242
799	1.256039385
800	1.256030732
801	1.256003008
802	1.255895894
803	1.255889356
804	1.255860112
805	1.255821003
806	1.255713431
807	1.255704664
808	1.255701119
809	1.255509912
810	1.255503453
811	1.255455103
812	1.255426356
813	1.255346246
814	1.255316538
815	1.255260276
816	1.255250909
817	1.255221207
818	1.255214777
819	1.255193135
820	1.255135469
821	1.255123334
822	1.255106298
823	1.255096375
824	1.255050438
825	1.254948619
826	1.254903979
827	1.254848933
828	1.254832485
829	1.254730657
830	1.254715807
831	1.254662873
832	1.254647785
833	1.254643891
834	1.254559937
835	1.254411411
836	1.254398865
837	1.25434802
838	1.254263063
839	1.254257077
840	1.25417002
841	1.254156079
842	1.254074908
843	1.254069955
844	1.253961438
845	1.253958265
846	1.253906488
847	1.253778905
848	1.253771912
849	1.253677231
850	1.253643789
851	1.253602335
852	1.253550136
853	1.253457937
854	1.253419155
855	1.253327253
856	1.253270595
857	1.253221862
858	1.253148987
859	1.253141919
860	1.253128785
861	1.253119958
862	1.2530341
863	1.253026102
864	1.253019718
865	1.25300907
866	1.252989536
867	1.252981649
868	1.252895189
869	1.252891773
870	1.252858886
871	1.252845388
872	1.25283919
873	1.252696197
874	1.252649228
875	1.252645842
876	1.252532262
877	1.252487027
878	1.252461094
879	1.252410551
880	1.25240262
881	1.252393388
882	1.252366339
883	1.252292451
884	1.25223324
885	1.252165122
886	1.252144277
887	1.252141029
888	1.252108265
889	1.252063348
890	1.252059509
891	1.252052764
892	1.251969691
893	1.25193268
894	1.251902937
895	1.251896903
896	1.251823489
897	1.251819384
898	1.251728523
899	1.251723748
900	1.251665636
901	1.25162214
902	1.251579359
903	1.251434217
904	1.251422366
905	1.251418077
906	1.251378151
907	1.251334953
908	1.251322783
909	1.251304874
910	1.251245685
911	1.251231515
912	1.251172047
913	1.251160309
914	1.251149903
915	1.251014138
916	1.25094756
917	1.250943039
918	1.250934314
919	1.250895984
920	1.250889155
921	1.250790256
922	1.250728402
923	1.250682555
924	1.250674593
925	1.250654961
926	1.250636327
927	1.250605185
928	1.250563212
929	1.250551897
930	1.250534201
931	1.250470719
932	1.250373001
933	1.250318581
934	1.250256931
935	1.250231431
936	1.250118637
937	1.250111771
938	1.250053865
939	1.250048058
940	1.249962081
941	1.249866894
942	1.249812857
943	1.249804087
944	1.249787074
945	1.249732918
946	1.249704799
947	1.249654861
948	1.249646699
949	1.24963997
950	1.249635699
951	1.249610436
952	1.249603582
953	1.24959631
954	1.249585266
955	1.249534103
956	1.249500895
957	1.249497953
958	1.249481479
959	1.249377831
960	1.249371573
961	1.24936887
962	1.249364464
963	1.249312826
964	1.249249565
965	1.249235785
966	1.249226527
967	1.249188529
968	1.249181877
969	1.249102673
970	1.249093693
971	1.249089187
972	1.248991709
973	1.24898523
974	1.24888216
975	1.248871169
976	1.248868438
977	1.248847046
978	1.248795999
979	1.24876729
980	1.24869235
981	1.248689103
982	1.248627976
983	1.248583474
984	1.248510617
985	1.248420904
986	1.248393121
987	1.248386719
988	1.248306157
989	1.248267871
990	1.248230022
991	1.248202386
992	1.248184905
993	1.248180798
994	1.248172696
995	1.248089735
996	1.247995117
997	1.247958735
998	1.247829119
999	1.247775375
